,Unnamed: 0,school_name,address,score,district,grade,lat,long
261,261,Schenck Elementary School,"101 Kate Schenck Avenue, San Antonio, TX 78223",4.0,Public district,PK-5,N/A,N/A
262,262,Washington Elementary School,"1823 Nolan Street, San Antonio, TX 78202",4.0,Public district,PK-5,N/A,N/A
263,263,Whittier Middle,"2101 Edison Drive, San Antonio, TX 78201",4.0,Public charter,6-8,N/A,N/A
264,264,Five Palms Elementary School,"7138 Five Palms Drive, San Antonio, TX 78242",4.0,Public district,PK-5,N/A,N/A
265,265,Neil Armstrong Elementary School,"7111 Valleybrook Drive, San Antonio, TX 78238",4.0,Public district,PK-5,N/A,N/A
266,266,Miguel Carrillo Jr Elementary School,"500 Price Avenue, San Antonio, TX 78211",4.0,Public district,PK-5,N/A,N/A
267,267,Southwest High School,"11914 Dragon Lane, San Antonio, TX 78252",4.0,Public district,9-12,N/A,N/A
268,268,Michael Elementary School,"3155 Quiet Plain Drive, San Antonio, TX 78245",4.0,Public district,PK-5,N/A,N/A
269,269,Heritage Elementary School,"1460 Martinez Losoya Road, San Antonio, TX 78221",4.0,Public district,PK-4,N/A,N/A
270,270,Francis R Scobee Middle School,"11914 Dragon Lane, San Antonio, TX 78252",4.0,Public district,6-8,N/A,N/A
271,271,Henry Metzger Middle School,"7475 Binz-Engleman Road, San Antonio, TX 78244",4.0,Public district,6-8,N/A,N/A
272,272,Corpus Christi College Prep High School,"1135 Mission Road, San Antonio, TX 78210",4.0,Public charter,9-12,N/A,N/A
273,273,Stevens High School,"600 North Ellison Drive, San Antonio, TX 78251",4.0,Public district,9-12,N/A,N/A
274,274,Mead Elementary School,"3803 Mid Horizon Dr, San Antonio, TX 78229",4.0,Public district,PK-5,N/A,N/A
275,275,Harmony School Of Innovation - San Antonio,"8125 Glen Mont Drive, San Antonio, TX 78239",4.0,Public charter,PK-8,N/A,N/A
276,276,Brooks Academy Of Science And Engineering,"3803 Lyster Road, San Antonio, TX 78235",4.0,Public charter,K-12,N/A,N/A
277,277,Behlau Elementary School,"2355 Camp Light Way, San Antonio, TX 78245",4.0,Public district,PK-5,N/A,N/A
278,278,Henry Ford Academy Alameda School,"318 West Houston Street, San Antonio, TX 78205",4.0,Public charter,9-12,N/A,N/A
279,279,Kingsway Leadership Academy,"4434 Roland Road, San Antonio, TX 78222",4.0,Public charter,PK-12,N/A,N/A
280,280,Wells Branch Leadership Academy,"4434 Roland Road, San Antonio, TX 78222",4.0,Public charter,PK-12,N/A,N/A
281,281,Frank L Madla Early College High School,"1400 W. Villaret Blvd. , San Antonio, TX 78223",4.0,Public charter,9-12,N/A,N/A
282,282,Brooks International Studies Academy,"134 East Lambert Street, San Antonio, TX 78204",4.0,Public charter,K-5,N/A,N/A
283,283,Idea Walzem College Preparatory,"6445 Walzem Road, San Antonio, TX 78239",4.0,Public charter,6-7,N/A,N/A
284,284,Harmony Elementary School,"10625 Green Lake Street, San Antonio, TX 78223",3.0,Public district,PK-3,N/A,N/A
285,285,Oak Crest Intermediate School,"7806 New Sulphur Springs Road, San Antonio, TX 78263",3.0,Public district,4-5,N/A,N/A
286,286,Brentwood Middle School,"1626 West Thompson Place, San Antonio, TX 78226",3.0,Public district,6-8,N/A,N/A
287,287,E T Wrenn Middle School,"627 South Acme Road, San Antonio, TX 78237",3.0,Public district,6-8,N/A,N/A
288,288,John F Kennedy High School,"1922 South General McMullen Drive, San Antonio, TX 78226",3.0,Public district,9-12,N/A,N/A
289,289,Las Palmas Elementary School,"115 Las Palmas Drive, San Antonio, TX 78237",3.0,Public district,PK-5,N/A,N/A
290,290,Winston Elementary School,"2500 South General McMullen Drive, San Antonio, TX 78226",3.0,Public district,PK-5,N/A,N/A
291,291,A Leal Jr Middle School,"743 West Southcross Boulevard, San Antonio, TX 78211",3.0,Public district,6-8,N/A,N/A
292,292,Collier Elementary School,"834 West Southcross Boulevard, San Antonio, TX 78211",3.0,Public district,PK-5,N/A,N/A
293,293,Harlandale Middle School,"300 West Huff Avenue, San Antonio, TX 78214",3.0,Public district,6-8,N/A,N/A
294,294,V M Adams Elementary School,"135 East Southcross, San Antonio, TX 78214",3.0,Public district,PK-5,N/A,N/A
295,295,Park Village Elementary School,"5855 Midcrown Drive, San Antonio, TX 78218",3.0,Public district,PK-5,N/A,N/A
296,296,Candlewood Elementary School,"3635 Candleglenn, San Antonio, TX 78244",3.0,Public district,PK-5,N/A,N/A
297,297,Woodlake Hills Middle School,"6625 Woodlake Parkway, San Antonio, TX 78244",3.0,Public district,6-8,N/A,N/A
298,298,Clear Spring Elementary School,"4311 Clearspring Drive, San Antonio, TX 78217",3.0,Public district,PK-5,N/A,N/A
