,school_name,address,score,grade
606,Club Z Day Care,"12741 Research Boulevard, Austin, TX 78759",N/A,Private PK
607,Kristens Kids Day Care,"1911 Mirabeau Street, Austin, TX 78727",N/A,Private PK
608,Kiddie Garden Learning Center,"8905 Splitarrow Drive, Austin, TX 78717",N/A,Private PK
609,Wanna Play Day Care,"14010 U.S. 183 #535, Austin, TX 78717",N/A,Private PK
610,University Of Texas Child Care Center,"1925 San Jacinto Boulevard, Austin, TX 78712",N/A,Private PK
611,School In The Hills,"2900 North Quinlan Park Road #400, Austin, TX 78732",N/A,Private PK-K
612,Pee Dee Petes Playhouse Child Care Center,"11800 North Interstate Highway 35, Austin, TX 78753",N/A,Private PK
613,Overton Extend A Care Dc,"7201 Colony Loop Drive, Austin, TX 78724",N/A,Private PK
614,Hillcrest Extend A Care Child Care Center,"6910 East William Cannon Drive, Austin, TX 78744",N/A,Private PK
615,Gullett Pre-School,"6310 Treadwell Boulevard, Austin, TX 78757",N/A,Private PK
616,Capital City Kids Day Care 1,"13107 Dessau Road #300, Austin, TX 78754",N/A,Private PK
617,Blazier Extend A Care Dc,"8601 Vertex Boulevard, Austin, TX 78747",N/A,Private PK
618,Ta Brown Head Start,"505 West Anderson Lane, Austin, TX 78752",N/A,Private PK-K
619,Blessing Beyond,"2102 Rosewood Avenue, Austin, TX 78702",N/A,Private PK
620,Capital Metro Cc & Learning,"624 North Pleasant Valley Road, Austin, TX 78702",N/A,Private PK
621,Two Steps Ahead Learning Center,"208 East Live Oak Street, Austin, TX 78704",N/A,Private PK
622,Clubhouse For Kids Llc,"3601 West William Cannon Drive, Austin, TX 78749",N/A,Private PK
623,Milwood Pre-School,"12217 Cassady Drive, Austin, TX 78727",N/A,Private PK
624,St John Neuman Cath Pre-School,"5455 Bee Caves Road, Austin, TX 78746",N/A,Private PK
625,West Oak Woods Baptist Pre-School,"Po Box 150098, Austin, TX 78715",N/A,Private PK
626,Cornerstone Mdo Child Care Center,"14829 Cordero Drive, Austin, TX 78717",N/A,Private PK
627,International Mont House Of Ch,"11124 Jollyville Road, Austin, TX 78759",N/A,Private PK-K
628,Extend A Care Ortega,"1135 Garland Avenue, Austin, TX 78721",N/A,Private PK
629,Lonestar Kids,"1510 Alegria Road, Austin, TX 78757",N/A,Private PK
630,Lake Travis Child Care Center,"15303 Kollmeyer Drive, Austin, TX 78734",N/A,Private PK
631,Tree Tops Too Learning Center,"1700 West 32nd Street, Austin, TX 78703",N/A,Private PK
632,Grant Cdc Head Start,"1701 Kramer Lane, Austin, TX 78758",N/A,Private PK
633,Little Wonders Child Care Center,"2010 West Koenig Lane, Austin, TX 78756",N/A,Private PK-K
634,Little Explorers Child Care,"2313 Teri Road, Austin, TX 78744",N/A,Private PK
635,Tarrytown Childrens Center,"2614 Exposition Boulevard, Austin, TX 78703",N/A,Private PK
636,Leaps N Bounds,"7010 Village Center Drive, Austin, TX 78731",N/A,Private PK
637,Extend A Care Head Start-Galindo,"3800 South 2nd Street, Austin, TX 78704",N/A,Private PK
638,Patton Child Development Center,"6001 Westcreek Drive, Austin, TX 78749",N/A,Private PK
639,Happy Hearts Bilingual Child Care Center I,"6615 Manchaca Road, Austin, TX 78745",N/A,Private PK-K
640,Doss Elementary Third Base Program,"3908 Avenue B #1300, Austin, TX 78751",N/A,Private PK
641,Brodie Cdc Head Start,"8105 Brodie Lane, Austin, TX 78745",N/A,Private PK
642,Austin Childrens Montesorri,"8807 Manchaca Road, Austin, TX 78748",N/A,Private PK-K
643,Montopolis Friendship Center,"Vargas Road, Austin, TX 78741",N/A,Private PK-K
644,Ochester Learning Center,"10500 Jollyville Road, Austin, TX 78759",N/A,Private PK
645,Westlake Child Care,"3924 Bee Caves Road, Austin, TX 78746",N/A,Private PK
646,Rosewoodzaragosa Head Start,"2800 Webberville Road, Austin, TX 78702",N/A,Private PK
647,Kids Campus Learning Center,"5710 McCarty Lane, Austin, TX 78749",N/A,Private PK-K
648,Blanton Head Start,"5408 Westminster Drive, Austin, TX 78723",N/A,Private PK
649,Tutor Time Canyon Creek Cc,"10321 Boulder Lane, Austin, TX 78726",N/A,Private PK
650,Johnson Day Care,"4811 Cottonwood Street, Austin, TX 78744",N/A,Private PK
651,Learn & Play Day Care,"8905 Bridgewood Trail, Austin, TX 78729",N/A,Private PK
652,Abc Childrens Learning Center,"12338 Cahone Trail, Austin, TX 78729",N/A,Private PK
653,Lauras Day Care,"8402 Roan Lane, Austin, TX 78736",N/A,Private PK
654,Mrs Tabs Day Care,"3007 Norwood Hill Road, Austin, TX 78723",N/A,Private PK
655,Tonis Fun Learning Center,"9102 Sautelle Lane, Austin, TX 78749",N/A,Private PK
656,Maria's Day Care Center,"8914 Georgian Drive, Austin, TX 78753",N/A,Private PK
657,Capital City Kids 4 Dc & Lc,"13107 Dessau Road, Austin, TX 78754",N/A,Private PK
658,Zachgo Day Care,"10213 Stellar Cove, Austin, TX 78739",N/A,Private PK
659,Parmer Children's Mont School,"Po Box 160335, Austin, TX 78716",N/A,Private PK
660,South Austin Karate Day Care,"10203 Old Manchaca Road, Austin, TX 78748",N/A,Private PK
661,Noahs Ark Pre-Sch-Park Hills,"900 S Mo Pac Expy, Austin, TX 78746",N/A,Private PK
662,St Michaels Episcopal Day Care,"1500 North Capital of Texas Highway, Austin, TX 78746",N/A,Private PK
663,Primrose School-Sw Austin,"12341 Brodie Lane, Austin, TX 78748",N/A,Private PK
664,Oak Hill Spanish Learning Center,"6900 Raccoon Run, Austin, TX 78736",N/A,Private PK
665,Teresas Home Day Care,"4704 Alta Loma Drive, Austin, TX 78749",N/A,Private PK
666,Room To Grow Day Care,"1807 Running Brook Drive, Austin, TX 78723",N/A,Private PK
667,My Wiggles & Giggles Child Care Center,"8411 Tyhurst Drive, Austin, TX 78749",N/A,Private PK
668,Baby Love Child Care Center,"4504 Bremner Drive, Austin, TX 78749",N/A,Private PK
669,Green Sprout Pre-School,"1302 Berkshire Drive, Austin, TX 78723",N/A,Private PK
670,Austin Montessori School-A/S Pgrm,"5006 Sunset Trail, Austin, TX 78745",N/A,Private PK
671,Academic Beginnings Cdc,"Po Box 19497, Austin, TX 78760",N/A,Private PK
672,Manor Child Care Center,"818 East 53rd Street, Austin, TX 78751",N/A,Private PK
673,Children's Courtyard Child Care Center,"10625 Bonaventure Drive, Austin, TX 78730",N/A,Private PK
674,Growing Tree Child Care Center,"2807 Robinson Avenue, Austin, TX 78722",N/A,Private PK
675,Open Door Pre-Sch-M Station,"2918 East Martin Luther King Junior Boulevard, Austin, TX 78702",N/A,Private PK
676,Eco-Kids Child Care Center,"8201 Cross Park Drive, Austin, TX 78754",N/A,Private PK
677,Parmer Lane Pre-School Center,"12410 Tomanet Trail, Austin, TX 78758",N/A,Private PK
678,Academy Child Care Center-Howard Lane,"104 West Howard Lane, Austin, TX 78753",N/A,Private PK
679,Get Me Ready Learning Center,"3605 Adelphi Lane, Austin, TX 78727",N/A,Private PK
680,Empower Pre-School Center,"1825 Fortview Road #105, Austin, TX 78704",N/A,Private PK
681,Plug & Play Child Care Center-Austin,"13343 North Highway 183 #200, Austin, TX 78750",N/A,Private PK
682,Abacus Pre-School Center-Austin,"14115 Avery Ranch Boulevard, Austin, TX 78717",N/A,Private PK-K
683,Papa & Nanas Child Care Center,"11301 Hornsby Street, Austin, TX 78753",N/A,Private PK
684,Academia Pre-School Center,"1511 South Congress Avenue, Austin, TX 78704",N/A,Private PK
685,Bais Menachem Day Care Center,"2127 West Parmer Lane, Austin, TX 78727",N/A,Private PK
686,Childrens Discovery Child Care Center,"3515 Convict Hill Road, Austin, TX 78749",N/A,Private PK
687,Kid-E-Shack Child Care Center-Lakeway,"2 Heatherbloom Lane, Austin, TX 78738",N/A,Private PK
688,Susys Day Care Center,"308 West William Cannon Drive, Austin, TX 78745",N/A,Private PK
689,All His Children Pre-School Center,"9725 Circle Drive, Austin, TX 78736",N/A,Private PK
690,Renaissance Academy,"14401 Owen-Tech Boulevard, Austin, TX 78728",N/A,Private PK
691,Stepping Stone Pre-School Xiv,"9405 Brodie Lane, Austin, TX 78748",N/A,Private PK
692,Crestview United Methodist Ps,"1300 Morrow Street, Austin, TX 78757",N/A,Private PK
693,Rosewood Oaks Primary Child Care Center,"2600 Rosewood Avenue, Austin, TX 78702",N/A,Private PK
694,Kids Ways Day Care Center,"9422 Brown Lane, Austin, TX 78754",N/A,Private PK
695,Victory Christian Child Care Center,"7625 North Interstate 35, Austin, TX 78752",N/A,Private PK
696,Stepping Stone Pre-School Ix,"8121 Shoal Creek Boulevard, Austin, TX 78757",N/A,Private PK
697,Childs Way Creative Learning Center,"7212 Oak Meadow Drive, Austin, TX 78736",N/A,Private PK
698,Westlake Methodist Pre-School Center,"1460 Redbud Trail, Austin, TX 78746",N/A,Private PK
699,Athena Montessori Academy,"1503 Morgan Lane, Austin, TX 78704",N/A,Private PK-K
700,Austin's Pioneer Montessori School,"11124 Jollyville Road, Austin, TX 78759",N/A,Private PK-K
701,Bright Horizons Family Solutions,"6111 Davis Lane, Austin, TX 78749",N/A,Private PK-K
702,Children's Courtyard,"4213 Spicewood Springs Road, Austin, TX 78759",N/A,Private PK-K
703,Children's Courtyard,"5914 West William Cannon Drive, Austin, TX 78749",N/A,Private PK-K
704,Hope Children's Center,"11512 Olson Drive, Austin, TX 78750",N/A,Private K
705,International Montessori House,"7020 Village Center Drive, Austin, TX 78731",N/A,Private PK-1
706,Primavera Montessori School,"1934 Berkeley Avenue, Austin, TX 78745",N/A,Private PK-5
707,Primrose School Of Shady Hollow,"12341 Brodie Lane, Austin, TX 78748",N/A,Private PK-K
708,Primrose School Of Southwest Austin,"4920 Davis Lane, Austin, TX 78749",N/A,Private PK-K
709,Prodigy Child Development Center,"2300 Cedar Bend Drive, Austin, TX 78758",N/A,Private PK-K
710,Scotish Rite Dyslexia Center,"12871 U.S. 183, Austin, TX 78750",N/A,Private 5
711,Victory Christian Center School,"7625 South Interstate Highway 35, Austin, TX 78752",N/A,Private PK-12
712,Athlos Leadership Academy- Austin,"3711 Shoreline Drive, Austin, TX 78728",N/A,Public charter PK-9
713,Austin STEM Academy,"3701 Kerbey Ln, Austin, TX 78731",N/A,Private PK
714,Lake Travis STEM Academy,"10625 RR 620 North, Austin, TX 78726",N/A,Private K-8
715,Indigo childcare,"4314 clarno dr, austin, TX 78749",N/A,Private PK
716,Fusion Academy Austin,"4701 Bee Caves Road, Austin, TX 78746",N/A,Private 6-12
717,Altamira Academy,"6405 Interstate 35 Frontage Road, Austin, TX 78744",N/A,Public charter PK-2
718,Long-View Micro-School,"1201 West 24th Street, Austin, TX 78705",N/A,Private 2-5
719,"The Children's Courtyard  of Austin, TX","11718 Metric Blvd, Austin, TX 78758",N/A,Private PK-K
720,Ko School + Incubator,"1701 Toomey Road, Austin, TX 78704",N/A,Private 6-12
721,The Goddard School - Steiner Ranch,"5145 North FM 620 Building H, Austin, TX 78732",N/A,Private PK-K
722,Austin Isd Child Development Center,"1111 West 6th Street, Austin, TX 78703",N/A,Public district PK
723,Austin Oaks,"1407 West Stassney Lane, Austin, TX 78745",N/A,Public charter 6-12
724,Idea Rundberg Academy,"9504 North Interstate 35 Frontage Road, Austin, TX 78753",N/A,Public charter K-2
725,AESA Prep Academy,"14101 Canonade, Austin, TX 78737",N/A,Private 4-12
726,Abrome,"10201 Aqua Azul Ct, Austin, TX 78733",N/A,"Private K-8, 10-12"
727,Challenger School - Pond Springs,"13015 Pond Springs Road, Austin, TX 78729",N/A,Private PK-K
728,Challenger School - Avery Ranch,"15101 Avery Ranch Boulevard, Austin, TX 78717",N/A,Private PK-5
729,4Points Academy,"5145 Ranch Road 620 North, Austin, TX 78732",N/A,Private 1-9
730,Joe Lee Johnson Elementary School,"2800 Sauls Drive, Austin, TX 78728",N/A,Public district K-5
731,Emergent Academy,"1044 Liberty Park Drive, Austin, TX 78746",N/A,"Private 1-5, 7-8"
732,Xplor Circle C,"5915 La Crosse Avenue, Austin, TX 78739",N/A,Private PK-K
733,Xplor Anderson Mill,"9706 Anderson Mill Road, Austin, TX 78750",N/A,Private PK
734,Elements Preschool,"1503 W Koenig Ln, Austin, TX 78756",N/A,Private PK
