,school_name,address,score,grade
159,Popham Elementary School,"7014 Elroy Road, Austin, TX 78617",4,Public district PK-5
160,Smith Elementary School,"4209 Smith School Road, Austin, TX 78744",4,Public district PK-5
161,Baty Elementary School,"2101 Faro Drive, Austin, TX 78741",4,Public district PK-5
162,Bluebonnet Trail Elementary School,"11316 Farmhaven Road, Austin, TX 78754",4,Public district PK-5
163,Dessau Elementary School,"1501 Dessau Ridge Lane, Austin, TX 78754",4,"Public district 1, 3-5"
164,Westview Middle School,"1805 Scofield Lane, Austin, TX 78727",4,Public district 6-8
165,Harmony Science Academy - Austin,"930 East Rundberg Lane, Austin, TX 78753",4,Public charter K-8
166,Dessau Middle School,"12900 Dessau Road, Austin, TX 78754",4,Public district 6-8
167,Akins High School,"10701 South 1st Street, Austin, TX 78748",4,Public district 9-12
168,Austin Discovery School,"8509 Farm to Market 969, Austin, TX 78724",4,Public charter K-7
169,Harmony School of Excellence - Austin,"2100 E St Elmo Rd Austin, Texas 78744, Austin, TX 78744",4,Public charter K-12
170,Vista Academy Of Austin-Mueller,"1504 East 51st Street, Austin, TX 78723",4,Public charter K-7
171,The East Austin College Prep At Ml,"5800 East Martin Luther King Junior Boulevard, Austin, TX 78721",4,Public charter 7-12
172,KIPP Austin Leadership Elementary School,"5107 South Interstate 35 Frontage Road, Austin, TX 78744",4,Public charter K-4
173,Barrington Elementary School,"400 Cooper Drive, Austin, TX 78753",3,Public district PK-6
174,Oak Springs Elementary School,"3601 Webberville Road, Austin, TX 78702",3,Public district PK-5
175,Pecan Springs Elementary School,"3100 Rogge Lane, Austin, TX 78723",3,Public district PK-6
176,Pleasant Hill Elementary School,"6405 Cir S Rd, Austin, TX 78745",3,Public district PK-5
177,Reagan High School,"7104 Berkman Drive, Austin, TX 78752",3,Public district 9-12
178,Reilly Elementary School,"405 Denson Drive, Austin, TX 78752",3,Public district PK-5
179,Travis High School,"1211 Oltorf Street, Austin, TX 78704",3,Public district 9-12
180,Travis Heights Elementary School,"2010 Alameda Drive, Austin, TX 78704",3,Public district PK-5
181,Walnut Creek Elementary School,"401 West Braker Lane, Austin, TX 78753",3,Public district PK-6
182,Webb Middle School,"601 East Saint Johns Avenue, Austin, TX 78752",3,Public district 6-8
183,Galindo Elementary School,"3800 South 2nd Street, Austin, TX 78704",3,Public district PK-5
184,Hornsby-Dunlap Elementary School,"13901 F M Rd 969, Austin, TX 78724",3,Public district PK-5
185,Northwest Elementary School,"14014 Thermal Drive, Austin, TX 78728",3,Public district PK-5
186,Rodriguez Elementary School,"4400 Franklin Park Drive, Austin, TX 78744",3,Public district PK-5
187,John P Ojeda J High School,"4900 McKinney Falls Parkway, Austin, TX 78744",3,Public district 6-8
188,Paredes Middle School,"10100 S Mary Moore Searight Dr, Austin, TX 78748",3,Public district 6-8
189,Magnolia Montessori For All,"5100 Pecan Brook Drive, Austin, TX 78724",3,Public charter PK-8
190,Eastside Memorial High School,"1012 Arthur Stiles Road, Austin, TX 78721",3,Public district 9-12
191,Dailey Middle School,"14000 Westall Street, Austin, TX 78725",3,Public district 6-8
192,The East Austin College Prep Acade,"6002 Jain Lane, Austin, TX 78721",3,Public charter 2-6
193,The Real Learning Academy,"6405 Interstate 35 Frontage Road, Austin, TX 78744",3,Public charter PK-5
194,Dobie Middle School,"1200 East Rundberg Lane, Austin, TX 78753",2,Public district 6-8
195,Govalle Elementary School,"3601 Valley Hill Circle, Austin, TX 78741",2,Public district PK-5
196,Martin Middle School,"1601 Haskell Street, Austin, TX 78702",2,Public district 6-8
197,Norman Elementary School,"4001 Tannehill Lane, Austin, TX 78721",2,Public district PK-6
198,Mendez Middle School,"5106 Village Square Drive, Austin, TX 78744",2,Public district 6-8
199,Widen Elementary School,"5605 Nuckols Crossing Road, Austin, TX 78744",2,Public district PK-5
