,Unnamed: 0,school_name,address,score,district,grade,lat,long
384,384,Fairhill School,"16150 Preston Road, Dallas, TX 75248",,Private,1-12,N/A,N/A
385,385,St Philips School & Community Center,"1600 Pennsylvania Avenue, Dallas, TX 75215",,Private,PK-6,N/A,N/A
386,386,Family Christian Academy,"10715 Garland Rd, Dallas, TX 75218",,Private,"PK-3, 5-6",N/A,N/A
387,387,White Rock North School,"9727 White Rock Trail, Dallas, TX 75238",,Private,PK-6,N/A,N/A
388,388,Walden Prep School,"2567 Valley View Ln, Dallas, TX 75234",,Private,9-12,N/A,N/A
389,389,Keystone Academy,"6506 Frankford Road, Dallas, TX 75252",,Private,PK-7,N/A,N/A
390,390,Kiest Park Christian Academy,"2719 South Hampton Road, Dallas, TX 75224",,Private,PK-1,N/A,N/A
391,391,Cliff View Christian Academy,"2424 Simpson Stuart Rd Bx 41216, Dallas, TX 75241",,Private,PK-5,N/A,N/A
392,392,First Baptist Middle School,"P.O. Box 868, Dallas, TX 75221",,Private,5-8,N/A,N/A
393,393,Bending Oaks High School,"11884 Greenville Avenue, Dallas, TX 75243",,Private,8-12,N/A,N/A
394,394,Fellowship Christian Academy,"1808 West Camp Wisdom Road, Dallas, TX 75232",,Private,PK-8,N/A,N/A
395,395,St Christophers Montessori School,"7900 Lovers Lane, Dallas, TX 75225",,Private,PK-K,N/A,N/A
396,396,Providence Christian School Of Texas,"5002 West Lovers Lane, Dallas, TX 75209",,Private,PK-8,N/A,N/A
397,397,Grace Academy Of Dallas,"11306 Inwood Road, Dallas, TX 75229",,Private,K-6,N/A,N/A
398,398,J Erik Jonsson Community School,"106 East 10th Street, Dallas, TX 75203",,Private,PK-5,N/A,N/A
399,399,The Covenant School,"7300 Valley View Lane, Dallas, TX 75240",,Private,K-12,N/A,N/A
400,400,Dallas Montessori Academy,"5757 Samuell Boulevard, Dallas, TX 75228",,Private,PK-8,N/A,N/A
401,401,The Hockaday School,"11600 Welch Road, Dallas, TX 75229",,Private,PK-12,N/A,N/A
402,402,The Hillier School,"3821 University Blvd, Dallas, TX 75205",,Private,2-7,N/A,N/A
403,403,Montessori School of North Dall,"18303 Davenport Rd, Dallas, TX 75252",,Private,PK-3,N/A,N/A
404,404,Oak Hill Academy,"9407 Midway Rd, Dallas, TX 75220",,Private,PK-12,N/A,N/A
405,405,Yavneh Academy,"12324 Merit Drive, Dallas, TX 75251",,Private,9-12,N/A,N/A
406,406,Meadowbrook School,"5414 West Northwest Highway, Dallas, TX 75220",,Private,PK-K,N/A,N/A
407,407,Logos Academy,"10919 Royal Haven, Dallas, TX 75229",,Private,7-12,N/A,N/A
408,408,Prince of Peace Community School,"Po Box 225159, Dallas, TX 75222",,Private,PK-8,N/A,N/A
409,409,Santa Clara Of Assisi School,"321 Calumet Avenue, Dallas, TX 75211",,Private,PK-8,N/A,N/A
410,410,Montessori Children's House & School,"7335 Abrams Road, Dallas, TX 75231",,Private,n/a,N/A,N/A
411,411,Bridgeway School at Green Oaks,"7808 Clodus Fields Dr, Dallas, TX 75251",,Private,9-12,N/A,N/A
412,412,The Lattner School,"950 Tiffany Way, Dallas, TX 75218",,Private,1-6,N/A,N/A
413,413,New Beginning Christian Academy,"5787 South Hampton Road, Dallas, TX 75232",,Private,9-12,N/A,N/A
414,414,The Winston School,"5707 Royal Ln, Dallas, TX 75229",,Private,K-12,N/A,N/A
415,415,Lobias Murray Christian Academy,"330 E Ann Arbor Ave, Dallas, TX 75216",,Private,K-12,N/A,N/A
416,416,Episcopal School of Dallas Pk-1,"4100 Merrell Rd, Dallas, TX 75229",,Private,PK-12,N/A,N/A
417,417,Lighthouse Christian Academy,"Po Box 210217, Dallas, TX 75211",,Private,PK-6,N/A,N/A
418,418,Notre Dame School,"2018 Allen Street, Dallas, TX 75204",,Private,2-12 & ungraded,N/A,N/A
419,419,Newman Park Christian Academy,"7922 Fairport Road, Dallas, TX 75217",,Private,4-11,N/A,N/A
420,420,The da Vinci School,"10909 Midway, Dallas, TX 75229",,Private,PK-K,N/A,N/A
421,421,Westminster Presbyterian Preschool & Kindergarten,"8200 Devonshire Drive, Dallas, TX 75209",,Private,PK-K,N/A,N/A
422,422,Bailey's Cradle And Class,"813 North Zang Boulevard, Dallas, TX 75208",,Private,PK,N/A,N/A
423,423,Oak Cliff Faith Family Academy,"300 West Kiest Boulevard, Dallas, TX 75224",,Public charter,PK-12,N/A,N/A
424,424,Hutchins State Jail,"1500 East Langdon Road, Dallas, TX 75241",,Public district,n/a,N/A,N/A
425,425,St Mark's School Of Texas,"10600 Preston Road, Dallas, TX 75230",,Private,1-12,N/A,N/A
426,426,Spring Valley Un Methodist Pre-School,"7700 Spring Valley Road, Dallas, TX 75254",,Private,PK,N/A,N/A
427,427,The Wise Academy,"5608 Northaven Road, Dallas, TX 75230",,Private,K-6,N/A,N/A
428,428,A W Brown - Fellowship North Campu,"6901 South Westmoreland Road, Dallas, TX 75237",,Public charter,PK-2,N/A,N/A
429,429,Skyline Career Dev Center,"7777 Forney Rd, Dallas, TX 75227",,Private,9-12,N/A,N/A
430,430,Seagoville Career Center,"15920 Seagoville Rd, Dallas, TX 75253",,Private,7-12,N/A,N/A
431,431,Environmental Center,"3700 Ross Ave, Dallas, TX 75204",,Private,K-12,N/A,N/A
432,432,Occupational Education,"3700 Ross Ave, Dallas, TX 75204",,Private,9-12,N/A,N/A
433,433,Salary Comp/Awards Program,"3700 Ross Ave, Dallas, TX 75204",,Private,PK-12,N/A,N/A
434,434,Tesel,"3700 Ross Ave, Dallas, TX 75204",,Private,K-6,N/A,N/A
435,435,Instructional Tech,"3700 Ross Ave, Dallas, TX 75204",,Private,K-12,N/A,N/A
436,436,Cluster Service Teams,"3700 Ross Ave, Dallas, TX 75204",,Private,PK-12,N/A,N/A
437,437,All Secondary School,"3700 Ross Ave, Dallas, TX 75204",,Private,7-12,N/A,N/A
438,438,All Learning Centers,"3700 Ross Ave, Dallas, TX 75204",,Private,PK-8,N/A,N/A
439,439,Textbooks,"3700 Ross Ave, Dallas, TX 75204",,Private,K-12,N/A,N/A
440,440,Dallas Can Academy At Pleasant Gro,"1227 North Masters Drive, Dallas, TX 75217",,Public charter,9-12,N/A,N/A
441,441,Callier Center Pre-School Deaf (0-,"1966 Inwood Road, Dallas, TX 75235",,Public district,PK,N/A,N/A
442,442,Campus-Based Allocations,"3700 Ross Ave, Dallas, TX 75204",,Private,PK-12,N/A,N/A
443,443,St. Anthony School,"3532 Myrtle, Dallas, TX 75215",,Private,PK-8,N/A,N/A
444,444,John XXIII School,"2801 Harlandale, Dallas, TX 75216",,Private,K-8,N/A,N/A
445,445,Grace Lutheran School,"1523 S Beckley, Dallas, TX 75224",,Private,PK-8,N/A,N/A
446,446,Dallas Canl Academy,"4621 Ross Ave, Dallas, TX 75204",,Private,9-12,N/A,N/A
447,447,Greenhill School,"14255 Midway Rd, Dallas, TX 75244",,Private,PK-12,N/A,N/A
448,448,Preston Hollow Presbyterian School,"9800 Preston Rd., Dallas, TX 75230",,Private,1-6,N/A,N/A
449,449,Texas Key Day,"3700 Ross Ave, Dallas, TX 75204",,Private,7-12,N/A,N/A
450,450,Clay Classical Academy,"3303 Potter's House Way, Dallas, TX 75236",,Private,K-8,N/A,N/A
451,451,The Parish Episcopal School Pk,"4101 Sigma Rd, Dallas, TX 75244",,Private,3-12,N/A,N/A
452,452,Vanguard Preparatory School,"4240 Sigma Rd, Dallas, TX 75244",,Private,PK-12,N/A,N/A
453,453,West Dallas Community School,"2300 Canada Drive, Dallas, TX 75212",,Private,PK-8,N/A,N/A
454,454,WS Happy Days Christian Academy,"6914 Manitoba Avenue, Dallas, TX 75241",,Private,PK-2,N/A,N/A
455,455,Uplift Education-Peak Prep Primary,"1825 Market Center Boulevard, Dallas, TX 75207",,Public charter,K-5,N/A,N/A
456,456,Uplift Education-Peak Prep Middle,"1825 Market Center Boulevard, Dallas, TX 75207",,Public charter,6-8,N/A,N/A
457,457,The Kessler School,"1215 Turner Ave, Dallas, TX 75208",,Private,PK-6,N/A,N/A
458,458,Holy Trinity Academy,"13555 Hillcrest Road, Dallas, TX 75240",,Private,PK-2,N/A,N/A
459,459,Lakewood Montessori School,"6210 East Mockingbird Lane, Dallas, TX 75214",,Private,PK-5,N/A,N/A
460,460,Iboc Christian Academy,"7710 South Westmoreland Road, Dallas, TX 75237",,Private,1-6,N/A,N/A
461,461,Precious Gifts Academy,"5608 Northaven Rd, Dallas, TX 75230",,Private,PK-1,N/A,N/A
462,462,The Cambridge School of Dallas,"3877 Walnut Hill Lane, Dallas, TX 75229",,Private,6-12,N/A,N/A
463,463,St. John's Episcopal School,"848 Harter Rd, Dallas, TX 75218",,Private,PK-8,N/A,N/A
464,464,Southwest Region Conf,"P.O. Box 226289, Dallas, TX 75222",,Private,3-12,N/A,N/A
465,465,Primrose School-Bent Trail,"18601 Preston Road, Dallas, TX 75252",,Private,PK,N/A,N/A
466,466,Mount St. Michael Catholic School,"4500 W Davis, Dallas, TX 75211",,Private,PK-8,N/A,N/A
467,467,Mesorah High School for Girls,"12712 Park Central Drive, Dallas, TX 75251",,Private,9-12,N/A,N/A
468,468,All Sts. Catholic School,"5231 Meadowcreek, Dallas, TX 75248",,Private,3-11,N/A,N/A
469,469,Church Of Incarnation,"3966 McKinney Avenue, Dallas, TX 75204",,Private,PK,N/A,N/A
470,470,Ideal Learning Center & Christian Academy,"1000 East Red Bird Lane, Dallas, TX 75241",,Private,PK,N/A,N/A
471,471,Walnut Hill Umc Creative School,"10066 Marsh Lane, Dallas, TX 75229",,Private,PK-K,N/A,N/A
472,472,Melanie's Playhouse,"1010 Kiest, Dallas, TX 75224",,Private,PK,N/A,N/A
473,473,Lakewood Child Development Center,"102 S Beacon St, Dallas, TX 75214",,Private,PK,N/A,N/A
474,474,Chapel Hill Presbytarian School,"10210 Webbs Chapel Rd, Dallas, TX 75229",,Private,PK,N/A,N/A
475,475,Brighter Day Academy,"10453 North Central Expressway, Dallas, TX 75231",,Private,PK,N/A,N/A
476,476,Cornerstone-The Ranch,"1050 East Camp Wisdom Road, Dallas, TX 75241",,Private,PK,N/A,N/A
477,477,Goodnight Moonday Child Care Center,"10504 Berry Knoll Drive, Dallas, TX 75230",,Private,PK,N/A,N/A
478,478,Sunshine Garden Dcc,"10715 Garland Road, Dallas, TX 75218",,Private,PK,N/A,N/A
479,479,Neighborhood Christian Learning Center,"1111 East Ledbetter Drive, Dallas, TX 75216",,Private,PK,N/A,N/A
480,480,G & J Learning Center,"1111 North Jim Miller Road, Dallas, TX 75217",,Private,PK-K,N/A,N/A
481,481,T L Walker Child Care Learning Center,"1121 Reynoldston Lane, Dallas, TX 75232",,Private,PK,N/A,N/A
482,482,Malaika's Academy,"1121 South Ewing Avenue, Dallas, TX 75216",,Private,PK-K,N/A,N/A
483,483,Bethel Early Learning Center,"11211 East Northwest Highway, Dallas, TX 75238",,Private,PK,N/A,N/A
484,484,Northaven Co-Op Pre-School,"11211 Preston Road, Dallas, TX 75230",,Private,PK,N/A,N/A
485,485,Betty-Lin Early Learning Center,"1123 East Ledbetter Drive, Dallas, TX 75216",,Private,PK,N/A,N/A
486,486,Tiny Texans Private School,"11307 Jupiter Rd, Dallas, TX 75218",,Private,PK,N/A,N/A
487,487,First International Academy,"11316 Mathis Avenue, Dallas, TX 75229",,Private,PK,N/A,N/A
488,488,Maggie's Playhouse,"114 W Woodin Blvd, Dallas, TX 75224",,Private,PK,N/A,N/A
489,489,New Revelation MBC Day Care Center,"1143 Carbona Dr, Dallas, TX 75217",,Private,PK,N/A,N/A
490,490,Oak Cliff United Methodist Head Start,"115 South Marsalis Avenue, Dallas, TX 75203",,Private,PK,N/A,N/A
491,491,Woodbridge Day School,"11501 Plano Road, Dallas, TX 75243",,Private,PK-K,N/A,N/A
492,492,N Ymca A/S Child Care Center-Lamplighter,"11611 Inwood Road, Dallas, TX 75229",,Private,PK-K,N/A,N/A
493,493,Hamilton Park Methodist Nursery,"11881 Schroeder Road, Dallas, TX 75243",,Private,PK,N/A,N/A
494,494,Marty's Loving Care,"12219 Snow White Drive, Dallas, TX 75244",,Private,PK,N/A,N/A
495,495,Cliff Temple Child Development Center,"125 Sunset Avenue, Dallas, TX 75208",,Private,PK,N/A,N/A
496,496,Jemcare-Coit Road,"12660 Coit Rd, Dallas, TX 75251",,Private,PK,N/A,N/A
