,school_name,address,score,district,grade,lat,long
76,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX 78738",7,Public district,12-Sep,30.3248495,-97.9680722
77,Parmer Lane Elementary School,"1806 West Parmer Lane, Austin, TX 78727",7,Public district,PK-5,30.414748,-97.6917321
78,Jollyville Elementary School,"6720 Corpus Christi Drive, Austin, TX 78729",7,Public district,PK-5,30.443797,-97.7513017
79,Forest North Elementary School,"13414 Broadmeade Avenue, Austin, TX 78729",7,Public district,PK-5,30.4707529,-97.7818152
80,Noel Grisham Middle School,"10805 School House Lane, Austin, TX 78750",7,Public district,8-Jun,30.457404,-97.806677
81,Mcneil High School,"5720 McNeil Drive, Austin, TX 78729",7,Public district,12-Sep,30.4485865,-97.7333313
82,Live Oak Elementary School,"8607 Anderson Mill Road, Austin, TX 78729",7,Public district,PK-5,30.4534005,-97.7705907
83,Deerpark Middle School,"8849 Anderson Mill Road, Austin, TX 78729",7,Public district,8-Jun,30.4523649,-97.7728803
84,Nyos - Magnolia Mccullough Campus,"1605 Kramer Lane, Austin, TX 78758",7,Public charter,PK-3,30.3846236,-97.7027747
85,Mcbee Elementary School,"1101 West Braker Lane, Austin, TX 78758",7,Public district,PK-5,30.3832495,-97.6910646
86,Kipp Austin Collegiate,"8509 Farm to Market 969, Austin, TX 78724",7,Public charter,12-Sep,30.2723506,-97.6384032
87,Idea Allan College Preparatory,"1701 Vargas Road, Austin, TX 78741",7,Public charter,9-Jun,30.2261121,-97.6990324
88,Lamar Middle School,"6201 Wynona Avenue, Austin, TX 78757",6,Public district,8-Jun,30.3377556,-97.7405518
89,Murchison Middle School,"3700 North Hills Drive, Austin, TX 78731",6,Public district,8-Jun,30.3540765,-97.7585644
90,Oak Hill Elementary School,"6101 Patton Ranch Road, Austin, TX 78735",6,Public district,PK-5,30.2379909,-97.8587606
91,Odom Elementary School,"1010 Turtle Creek Boulevard, Austin, TX 78745",6,Public district,PK-5,30.205619,-97.7887779
